blockNumber,timeStamp,hash,nonce,blockHash,transactionIndex,from,to,value,gas,gasPrice,isError,txreceipt_status,contractAddress,gasUsed,tx_type,weiSpentOnGas
13148708,1630617931,0xc6c20456c027717ae6ed6d4b946b9bbcaa10ea4824d296de4d899cca118dde80,373,0xfb78f39038711961870607262cdc40ca5900287451f7ea05b66a152f91f95a84,300,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x95730d3e374b5e1f5b550af059af86d23fea79e3,0,441771,85000000000,0,1,,262816,transaction,2.233936e+16
13148724,1630618087,0x3ce424b65a34883277e9ae6122629ccfe04de7d1421cc38a488c066e9d120986,374,0x5df78a072becdc189f697f9ea4430c73d1547f08a491be737bbfabcf9ff4227a,75,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,6000000,79510132629,0,1,,2885342,transaction,2.2941392510002413e+17
13153745,1630685379,0xe023c330455c2be0ee61a00ddb542bc27bc5739cdc4fb8485c6935b3f1789b76,375,0xdf080a0452cba6fe37bc59eddd446ca909a8e8a1d02ab555c3cffb4d234cda08,186,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,10000000000000000,161776,165009299673,0,1,,120050,transaction,1.980936642574365e+16
13153942,1630688122,0x2364f49d18fbab43c1f5028e205dc05cc4ac5eb5fe196c4083c7fd3f1a0b032d,376,0x851eeb6df767df9476d7de5bbac17680c2cda41df7cf0ea6796cdaf857164df3,19,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x6b175474e89094c44da98b954eedeac495271d0f,0,69687,172145368329,0,1,,46458,transaction,7997529521828682.0
13153942,1630688122,0xab18210e0ee0f0e9db1427c1e6a9bbd80ae8ad1c629c0456320447ac4a69beed,377,0x851eeb6df767df9476d7de5bbac17680c2cda41df7cf0ea6796cdaf857164df3,163,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xbedf3cf16ba1fce6c3b751903cf77e51d51e05b8,0,161776,131492128424,0,1,,21000,transaction,2761334696904000.0
13153942,1630688122,0x5758571236dec2f1b2285a8eadaa22dad6daea49054ddf056c14dbb2613de5f7,378,0x851eeb6df767df9476d7de5bbac17680c2cda41df7cf0ea6796cdaf857164df3,194,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xbedf3cf16ba1fce6c3b751903cf77e51d51e05b8,0,69687,130395905979,0,1,,21000,transaction,2738314025559000.0
13153954,1630688288,0x7e5d3e735a5695b4ca61f44156ca09f6337040b94df5da64ea31a536c1753b50,379,0xf2d395819a8da0835f7cd391b7ef0d8601ac98b30494e2f9f5ce53f2c951613c,154,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x8e595470ed749b85c6f7669de83eae304c2ec68f,0,192748,155067455628,0,1,,122167,transaction,1.8944125851705876e+16
13153985,1630688601,0xd2a72f5905d466d144a36d9f42a1155669a0075dbd8e5454cc8329bf44c400e4,380,0x687c7e68f274be26ff923d40ea5b597ae557e955f12385cee6b47b5d18c6c24f,260,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x6b175474e89094c44da98b954eedeac495271d0f,0,39837,168184748833,0,1,,26558,transaction,4466650559506814.0
13153997,1630688829,0x0fe07bf9d3729e67349d201ed068f2c3e43c2623dd2c7b35248f9bb0d5b8219b,381,0x995291afb5e598fcebce15eee15b8cf4f908ac390e8ea1c941e46b51283dce8c,283,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x6b175474e89094c44da98b954eedeac495271d0f,0,69687,210852068173,0,1,,46458,transaction,9795765383181234.0
13154003,1630688944,0x58d6e5a70c0a799868d1b4a95bd83b7571488f2447d874d0406587e34587bffa,382,0x7c082e5af3cfdf6351cf41b53a3921ea844a686b6fe12f9c7ec92e2ffe478be5,322,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x8e595470ed749b85c6f7669de83eae304c2ec68f,0,204690,192825067459,0,1,,125210,transaction,2.414362669654139e+16
13154616,1630696975,0x642c86392bf502dc3d1e605acbf585dd19a6e74cfac38b1d7c3582414deb23f0,383,0x84a93567265bcee1cc1bd6f16c9d1dd971296f3ab9a66b6fce048b2ed36df4df,57,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x8e595470ed749b85c6f7669de83eae304c2ec68f,0,303090,107561505130,0,1,,294017,transaction,3.162491105380721e+16
13154734,1630698378,0x73d00090c12bcfd0c4ddd6f043482375fd04c77973fa67f7be98dc2d7e29ee3e,384,0xa34d34549bb92ca6b7b8a12af68dae48fa32780e88deeefc5505d63125b90179,140,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x9a5afc29186b5d27f12f8ce6fe9e6bd2cbb2bcdc,0,791335,82251742809,0,1,,492218,transaction,4.048578834196036e+16
13154734,1630698378,0x1221cba1b8318a94fd6fb8d038209b6ed2e74377ddb2e8e5aed1da3c38204a99,385,0xa34d34549bb92ca6b7b8a12af68dae48fa32780e88deeefc5505d63125b90179,141,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xb71252d990483079ccf76a85b623059b5e33d3db,0,431508,82251742809,0,1,,256081,transaction,2.106310855027153e+16
13161393,1630787104,0x118841f081bc0bf9763de5b61dd382f6d73137312d1db8aec278496c70df899e,386,0xb53ad63c1808dc99f59a816b6822208459614299c7e9a0f6df88e8d6d8e4000c,129,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x2c641e14afecb16b4aa6601a40ee60c3cc792f7d,0,365683,100860087818,0,1,,238989,transaction,2.4104451527536e+16
13172376,1630934154,0xe9739a4094fc852980ced00cf1e87a0e1596da370dfcc54540a3f8818db7c761,387,0x0ec5e247423e1ae205e4eb9d2aa95b4260c1ba6dc91489ac07e62855de49c22d,108,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xb71252d990483079ccf76a85b623059b5e33d3db,0,1105284,75227959496,0,1,,645506,transaction,4.856009922242498e+16
13172927,1630941305,0xadc5c7ba02242e3286886a6c5244c28c7c7eada17d058e94d0fdb85fecc839e8,388,0xc821a54d584eced80143bfd204b809b6b8d876ffade220f9206e7f3bd9099f0e,49,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x9a5afc29186b5d27f12f8ce6fe9e6bd2cbb2bcdc,0,1605394,79962419356,0,1,,963144,transaction,7.701532442821526e+16
13172927,1630941305,0x5ee232b5dd5068e3c1da608fff978b7f1613331195bbe32819f6cd1938493abe,389,0xc821a54d584eced80143bfd204b809b6b8d876ffade220f9206e7f3bd9099f0e,50,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x95730d3e374b5e1f5b550af059af86d23fea79e3,0,947476,79962419356,0,1,,513065,transaction,4.102591868688614e+16
13173627,1630950733,0x818bee25ee52d1508c15cfec22f448afbd8247e0c4e86448f6aeed6c4c03e4d4,390,0xa7bea1f04315352f24f4e942d2fb3c9853ee7dcef7c28c23a0a85b8760650518,188,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,4000000,108943690108,0,1,,2486560,transaction,2.7089502207494848e+17
13173642,1630950937,0x713331a09b215056a7db781166c4a1190e9b7bef8cdd273ebf66e541d9e4b1c5,391,0x23a84abb61bd5cd473e91c19c34f4dfa03d345fc69d18743b70cf363abd63468,152,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xa2a182c5b5ea1a3c90cb5bb718f9e62dbe052927,0,1102870,96309033574,0,1,,644447,transaction,6.2066067759663576e+16
13174572,1630963433,0xf60cb9a3d9984a76ebb40ea5e1f62a09d6127dbd17b5c8a1cf63127a9ae50cef,392,0x5737fb581430a902403188579582fa911984e189b315cd0c4b231bd00d44173e,145,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,2000000,93639481261,0,1,,839337,transaction,7.859508128316395e+16
13176258,1630985683,0x90a09094fed5922867e325b3f458c7cfdcd70522dc098f9d151763fadc7b6a2d,393,0xa6975e995ea92f97a1d773e20a86c1de4f96840a23801b7445485b1b46f75cbc,295,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,,0,5301081,72672811404,0,1,0x9e1ff8638a2f1ad4b924a4b9677ad9d9b74361cf,5301081,transaction,3.8524445975032774e+17
13176292,1630986238,0xec44ee8924a1c0fb52090a490cc1c71e4892f4ed0af95a6c79ada52a67af6fdd,394,0x43dd24ffa5e77db11a1bb87595af0b5022dccac97f67f19c89a1b94c455838a4,166,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,,0,6343704,79359780122,0,1,0x6570b0a1593a59ccb378fb0b01a753875fca99c4,6343704,transaction,5.034349545990519e+17
13182463,1631069162,0x97806603651e4749328fcb08882efc3f76ec80d22db6b04c9f59d7558f279a99,395,0x783230cddff5a27b1eeb72224afdc1c5efb5dbef440e2fd8ea4937da61bb4b91,246,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x92be6adb6a12da0ca607f9d87db2f9978cd6ec3e,10000000000000000,1001240,98097424729,1,0,,389941,transaction,3.825220789625099e+16
13182915,1631075196,0x9c500b3a68e15d249a91e12dd808c291e710c32bf958d15db3c56d9815ece873,396,0xb827f8cde1da8e8cacdeb22d8f1c60a5eae2cc3106c238a36ee4c0ae3ac738ed,241,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x6570b0a1593a59ccb378fb0b01a753875fca99c4,0,1298527,76011001692,0,1,,741485,transaction,5.636101758959262e+16
13194404,1631228247,0xf5ed00fc0316107781b09e8eeda8e62d016c0075c0dcc896fd8fbea1cba8ea80,397,0xac054ef43c5cd4c00f9c4348efa3d005db0415efed15dc115cd7b35a9310a140,233,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x50c1a2ea0a861a967d9d0ffe2ae4012c2e053804,0,499490,66884208680,0,1,,446495,transaction,2.98634647545766e+16
13194414,1631228441,0x5adfa72d0289d681131a025b3ef362f76648d07f6a77128f3d07ff32d6da993d,398,0xdcd287abafc754dd02bc6a64c9904b5e1d3975901ed81c8f2de99de744555b64,39,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x50c1a2ea0a861a967d9d0ffe2ae4012c2e053804,0,499516,79615352636,0,1,,446519,transaction,3.5549767643674084e+16
13195228,1631239716,0xdd49994d4ce533b83d9116d95d08880d4b41235c170247bf2a91598d17e22515,399,0x0e0d026905ee6a68c143f18bcdbbf8020dc0ab34ff39a3b277d36ab4999ab293,136,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,,0,3571576,79661472137,0,1,0xdcecd8dc5f3ddd480d2a06c56063dbf9c2a07e09,3571576,transaction,2.8451700200917792e+17
13195497,1631243276,0xae0cbba838bfee4fc72cc7f287e608f3963fed65089b87a6a6e36a90c17871d9,400,0xc5558cdbdc066cefc85e3b374bf87a1a3577856601493e95a6de57b61c64ed00,318,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x50c1a2ea0a861a967d9d0ffe2ae4012c2e053804,0,499490,73576744696,0,1,,446495,transaction,3.285164862304052e+16
13195505,1631243420,0x7fba417c09acd21295520af3709a4e54192e3da76ffb551e0bf1f4e2c56cafaf,401,0x3848c7a0ac4607fe2c8d76ca24fd53fe8aa98beed514cafbfb7205ea046f2ebc,74,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x50c1a2ea0a861a967d9d0ffe2ae4012c2e053804,0,499490,84584908782,0,1,,446495,transaction,3.776673884661909e+16
13195525,1631243643,0x25f047e5b9998ebf9225e89c74b465b731068436528b386fdb1fd8b122f86ab0,402,0x09611ef7f33e5867c309e3321610f7f07cb3eb80644bee7b3278fd7a137dc5e1,155,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x50c1a2ea0a861a967d9d0ffe2ae4012c2e053804,0,499490,78496531083,0,1,,446495,transaction,3.5048308645904084e+16
13195529,1631243697,0xf9dddbd5344d78aedd61367d83d4250f4a27b80afe3ef01ebe27f20719519eb7,403,0xf171dee6f6db36c7aa29653a2f6f9401ab95146d6f9547dfaeef65000577a6ac,139,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x50c1a2ea0a861a967d9d0ffe2ae4012c2e053804,0,499490,74865014120,0,1,,446495,transaction,3.34268544795094e+16
13195534,1631243757,0xb7935053e11c36c26e6a31bb35b56eca3932344f844819b292dc15982b63aed2,404,0x2e71eb024caf1c74af593bbefd246e6b9f134b4442a9bd001a1e4b2b1651f861,147,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x50c1a2ea0a861a967d9d0ffe2ae4012c2e053804,0,499477,86444585233,0,1,,446483,transaction,3.859603774858554e+16
13195709,1631246170,0x45a1d4161307f406b4ff8c0a4a6579cf6acc3fb7b87ee4214f91264f42b73bb1,405,0xdcab9b2d37e9e5fa4ca0e12bc70129c0c4fbf1b7a41a036f7ce27bc258d4e9ad,123,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,5000000,75264812258,0,1,,2884596,transaction,2.1710857638017776e+17
13195808,1631247317,0xe98cfa88d57195acaf23a7f2e4500eec71e70c6db963d44810d1c48e02487334,406,0xb64f3aee2510c92b8ec1e28aa782de62404a518f4fb31d9a73776eea476e10c0,169,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,,0,4318326,74873390695,0,1,0xb431a88a6cfffa66dbcf96ebc89ae72ff7fcc34f,4318326,transaction,3.233277097463766e+17
13198615,1631284748,0x35ea68451b9bed028fbfa86172e35a058ffc2213584d07df5d102f0a7ad4dce1,407,0x0a54ef03c5d9f8a93eef656d07a3be73580465d3f9c0f27426919f4e12cf6289,71,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,2000000,121900129851,0,1,,367803,transaction,4.483523345958735e+16
13200233,1631306675,0x0c0f9fb6c9bbcb183602d02e2943f16a9245387e692f565ef3e27fcc811a18eb,408,0x008665e09904c84b8ef291c6af820179e010c08d50b498406833d3d07d0d899a,66,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xb431a88a6cfffa66dbcf96ebc89ae72ff7fcc34f,0,995001,86576851120,0,1,,646294,transaction,5.595409941774928e+16
13200253,1631306931,0x8c3fa62d64008270a638cc4ec86d4fc177edeadec9507ea788b8539865b08692,409,0x0e05b98f8909bb540d350ae7e9fb400ed213e8eb94a4b25fac5b10e21c2bb8a0,206,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xb431a88a6cfffa66dbcf96ebc89ae72ff7fcc34f,0,995037,78713615354,0,1,,646318,transaction,5.087402644836658e+16
13200253,1631306931,0x85aa0bfd7568d1d1cb09b8536ce9feb28ef47ba7f3c838158926943ed68bfb56,410,0x0e05b98f8909bb540d350ae7e9fb400ed213e8eb94a4b25fac5b10e21c2bb8a0,207,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xb431a88a6cfffa66dbcf96ebc89ae72ff7fcc34f,0,995019,78713615354,0,1,,646306,transaction,5.087308188498232e+16
13200270,1631307173,0xa0e58f8cdf6e3364a6caa5006389607fd76e1245cb2bc0e25a06569b11318042,411,0x345f377bb32dd259dd1ed29163e8e4d29758fa81bec3f026d92a5d53d62ffbdf,149,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xb431a88a6cfffa66dbcf96ebc89ae72ff7fcc34f,0,995037,79471480649,0,1,,646318,transaction,5.136384843010038e+16
13200270,1631307173,0x81fe9055826324bd1d7c29386d3339976ca486c79cbf19a623ed82c50d6e3af2,412,0x345f377bb32dd259dd1ed29163e8e4d29758fa81bec3f026d92a5d53d62ffbdf,153,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xb431a88a6cfffa66dbcf96ebc89ae72ff7fcc34f,0,995037,79471480649,0,1,,646318,transaction,5.136384843010038e+16
13201251,1631319850,0xdb385fa6ab0e95d25c2940a8a45ffd022b368ee19d8f17dfd2445e0718d42af3,413,0xda4e0db109757dbb824981bef9fae546f0032db7299b2296496606c2ec81a769,296,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,2000000,67471718288,0,1,,276614,transaction,1.866362188251683e+16
13201258,1631319912,0xf9584410127f2581a32da3cf312925f0e904d4043e6dfc60cba301e3d165322c,414,0xa9bff0932be3754c7f445769bc688e1148f48b2ac63c26c28d1a66f99c5d9274,282,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,3000000,64825144590,0,1,,1519494,transaction,9.850141825363746e+16
13206373,1631389107,0xd53b27cfed93767a962d5f301d7d6ee050b7ed4b504a55b635368ffd04023b5b,415,0x4c14565868fa6715444711a02d179efb1d4dd5b763bcbb9895491e3de9d46b63,79,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xc5424b857f758e906013f3555dad202e4bdb4567,100000000000000000,189946,76604506318,0,1,,113581,transaction,8700816432104758.0
13206376,1631389161,0xa2111722a872a3926c6e334a6ca671258f9e2390b9b429c4bba43b19064e854a,416,0xdff6136fe6579484bf6ddb87c715ed97a93baab08459960bc803fdc6246b5564,10,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xa3d87fffce63b53e0d54faa1cc983b7eb0b74a9c,0,68925,76019878897,0,1,,45950,transaction,3493113435317150.0
13206384,1631389231,0x2982e002ac6000a3edd419cde7746b270876aaad659459db4bde63f6d8a9d185,417,0x4ae91d98cf6c2d22838b1fd80cd621a8c71b90961879681b9bb46829d0c1e636,238,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xb17d98c36d2238ffcb27bf797ca9967b3cc9aa07,0,210387,58115959649,0,1,,170523,transaction,9910107787226428.0
13206389,1631389276,0x87006c5f01f0b68381cd652e114d392d67911b97394ed585b5e2fd9d58a2bdea,418,0xd39cafad46480e1355aedb90f4ad377829cc2849d487bd02d56d565bd03ca9fb,277,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x8e595470ed749b85c6f7669de83eae304c2ec68f,0,136168,53884811120,0,1,,129718,transaction,6989829928864160.0
13206395,1631389360,0xc12f9547166c0a545ae6570d6788842e9a9ecb4f1f46258864164c81b32b916c,419,0xfb3993c35976dd51f26e26f4ca4267318eef3ae6efd4f44a7ebf45d494b3dd0d,167,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xb17d98c36d2238ffcb27bf797ca9967b3cc9aa07,0,69465,59406195399,0,1,,46310,transaction,2751100908927690.0
13206403,1631389428,0x1ed90d97a0b8e618d1aab047494452025bcf34c55702c3e179893fe38bccf2d1,420,0xb82c8372fc00ee8d7d0cd89230e7b39c286f305983faa70d16afbc63d9d61d02,155,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xff4446e9df1c8281ce1d42610c3bc0342f93e4d7,0,192121,56451121652,0,1,,155301,transaction,8766915643677252.0
13206568,1631391593,0x180f574fa1f4ea72f66f40c083c50e8647fe5df20e01ba5798a6aae52bc85e73,421,0xd7e0dc9628cdf67cd58ff431a080e9292d4f84076ec527b355e9a72772bb0e7e,63,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x8e595470ed749b85c6f7669de83eae304c2ec68f,0,204690,61850927044,0,1,,125210,transaction,7744354575179240.0
13206645,1631392491,0x149c8aff0ff8673bc43747b2574b06bcb3dd973000b5bf83b5d2532e571a1d4b,422,0x7d1a3f41c57c595c1b37f607caefab75a0aa6f49da1ee5438afe6c667c36ec90,223,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x8e595470ed749b85c6f7669de83eae304c2ec68f,0,303078,46375818104,0,1,,294005,transaction,1.363472240166652e+16
13206781,1631394214,0x2b5d84425baacefb3278b1339051c8f30fd8a01ffc0e5daf03d91db9cf30ea8b,423,0xf3fe5b650eb3ef6cdd2b35e3c62b15f8fe7cf0a34b0a26d5b83d72ea7e47669d,146,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x8e595470ed749b85c6f7669de83eae304c2ec68f,0,136460,67897957360,0,1,,125210,transaction,8501503241045600.0
13212607,1631471820,0x83ddf1cdfb2acd0717f78f476b33c4e80329478c6002e031fe7a3e0144d99dc7,424,0x0ae5b26b78f9741dd1b82c2689d214248918933d6fc1c14dccff0ce7fd53bae6,524,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,1000000,67561505530,0,1,,95207,transaction,6432328256994710.0
13213152,1631479082,0xd6995900190380c012fcb20eaec32a6d811308baaa27c0274f01832d188fe8bb,425,0xef7679f505b6cf6e91a9085cb2eb94ee6a5c38add628e11e2ec59aacd97821b2,73,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x8e595470ed749b85c6f7669de83eae304c2ec68f,0,303078,145080731736,0,1,,294005,transaction,4.265446053404268e+16
13213350,1631481947,0x209d0b1420c92db6160affdea211aad15b6ea0764cde3fa08dcec69a89a9423b,426,0x59ecf890dabc28fdf9673c4fde7cab206cb6df33d5b0126e2f2a1deff2007abe,95,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x8e595470ed749b85c6f7669de83eae304c2ec68f,0,136460,79120200710,0,1,,125210,transaction,9906640330899100.0
13213376,1631482295,0xd91946d9f24b2967edd0ea68bbdc8fbc1040d13fbb2de3fc580d852b95fd9aea,427,0x1096c2b9c1d69732b234a2a779bfb1cccc7c0e62c76239e47ca5a71aa8ed1095,346,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x41c84c0e2ee0b740cf0d31f63f3b6f627dc6b393,0,368650,57161780593,0,1,,232790,transaction,1.330669090424447e+16
13213526,1631484101,0x80aa67e977d35da9cd5e4c6c60fe2cd1ac2c409af55da001b7c0a3813dfc68f5,428,0x1ed2a3f581bc0cf1cf064439478900cb0e3095e23e5964426ef5a0d74e92c46e,198,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x41c84c0e2ee0b740cf0d31f63f3b6f627dc6b393,0,162341,66740209488,0,1,,150683,transaction,1.0056614986280304e+16
13213697,1631486364,0xc0a0aa50d42e52474b93b5c65a27c141437fc26d281c3ea61b97e685012bebf0,429,0x03fb6844cd3c7342a7ea8f1cc215d5b4fcbd3986966f977a9d89643f8d76198b,310,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x41c84c0e2ee0b740cf0d31f63f3b6f627dc6b393,0,245767,65548313247,0,1,,232790,transaction,1.525899184076913e+16
